indicator,date,rate
open,2021-02-26 20:00:00,672.0
high,2021-02-26 20:00:00,672.0
low,2021-02-26 20:00:00,670.72
close,2021-02-26 20:00:00,670.8
open,2021-02-26 19:55:00,671.32
high,2021-02-26 19:55:00,672.0
low,2021-02-26 19:55:00,671.32
close,2021-02-26 19:55:00,672.0
open,2021-02-26 19:50:00,671.27
high,2021-02-26 19:50:00,671.89
low,2021-02-26 19:50:00,671.1
close,2021-02-26 19:50:00,671.31
open,2021-02-26 19:45:00,671.18
high,2021-02-26 19:45:00,671.3
low,2021-02-26 19:45:00,671.1
close,2021-02-26 19:45:00,671.18
open,2021-02-26 19:40:00,671.15
high,2021-02-26 19:40:00,671.48
low,2021-02-26 19:40:00,671.15
close,2021-02-26 19:40:00,671.2
open,2021-02-26 19:35:00,671.51
high,2021-02-26 19:35:00,671.51
low,2021-02-26 19:35:00,671.1
close,2021-02-26 19:35:00,671.15
open,2021-02-26 19:30:00,671.8
high,2021-02-26 19:30:00,671.8
low,2021-02-26 19:30:00,671.5
close,2021-02-26 19:30:00,671.5
open,2021-02-26 19:25:00,671.8
high,2021-02-26 19:25:00,671.8
low,2021-02-26 19:25:00,671.5
close,2021-02-26 19:25:00,671.5
open,2021-02-26 19:20:00,671.9101
high,2021-02-26 19:20:00,672.0
low,2021-02-26 19:20:00,671.75
close,2021-02-26 19:20:00,671.75
open,2021-02-26 19:15:00,672.0
high,2021-02-26 19:15:00,672.7
low,2021-02-26 19:15:00,671.79
close,2021-02-26 19:15:00,672.47
open,2021-02-26 19:10:00,671.55
high,2021-02-26 19:10:00,671.63
low,2021-02-26 19:10:00,671.55
close,2021-02-26 19:10:00,671.63
open,2021-02-26 19:05:00,671.11
high,2021-02-26 19:05:00,671.5
low,2021-02-26 19:05:00,671.11
close,2021-02-26 19:05:00,671.5
open,2021-02-26 19:00:00,670.8
high,2021-02-26 19:00:00,671.95
low,2021-02-26 19:00:00,670.8
close,2021-02-26 19:00:00,671.7
open,2021-02-26 18:55:00,670.3
high,2021-02-26 18:55:00,672.0
low,2021-02-26 18:55:00,670.3
close,2021-02-26 18:55:00,672.0
open,2021-02-26 18:50:00,670.27
high,2021-02-26 18:50:00,671.05
low,2021-02-26 18:50:00,670.2
close,2021-02-26 18:50:00,670.4999
open,2021-02-26 18:45:00,670.05
high,2021-02-26 18:45:00,671.05
low,2021-02-26 18:45:00,670.05
close,2021-02-26 18:45:00,671.05
open,2021-02-26 18:40:00,671.01
high,2021-02-26 18:40:00,671.5
low,2021-02-26 18:40:00,671.0
close,2021-02-26 18:40:00,671.0
open,2021-02-26 18:35:00,671.52
high,2021-02-26 18:35:00,671.52
low,2021-02-26 18:35:00,671.06
close,2021-02-26 18:35:00,671.5
open,2021-02-26 18:30:00,672.1
high,2021-02-26 18:30:00,672.1
low,2021-02-26 18:30:00,671.0
close,2021-02-26 18:30:00,671.49
open,2021-02-26 18:25:00,672.21
high,2021-02-26 18:25:00,672.21
low,2021-02-26 18:25:00,671.5
close,2021-02-26 18:25:00,671.5
open,2021-02-26 18:20:00,673.4
high,2021-02-26 18:20:00,673.4
low,2021-02-26 18:20:00,672.5001
close,2021-02-26 18:20:00,672.5001
open,2021-02-26 18:15:00,672.7
high,2021-02-26 18:15:00,673.74
low,2021-02-26 18:15:00,672.7
close,2021-02-26 18:15:00,673.5
open,2021-02-26 18:10:00,675.5
high,2021-02-26 18:10:00,675.5
low,2021-02-26 18:10:00,672.25
close,2021-02-26 18:10:00,672.95
open,2021-02-26 18:05:00,672.32
high,2021-02-26 18:05:00,672.32
low,2021-02-26 18:05:00,672.32
close,2021-02-26 18:05:00,672.32
open,2021-02-26 18:00:00,673.25
high,2021-02-26 18:00:00,673.5
low,2021-02-26 18:00:00,672.1
close,2021-02-26 18:00:00,673.0
open,2021-02-26 17:55:00,671.9
high,2021-02-26 17:55:00,672.55
low,2021-02-26 17:55:00,671.9
close,2021-02-26 17:55:00,672.55
open,2021-02-26 17:50:00,671.21
high,2021-02-26 17:50:00,671.97
low,2021-02-26 17:50:00,671.21
close,2021-02-26 17:50:00,671.9
open,2021-02-26 17:45:00,670.91
high,2021-02-26 17:45:00,671.5
low,2021-02-26 17:45:00,670.91
close,2021-02-26 17:45:00,671.5
open,2021-02-26 17:40:00,671.16
high,2021-02-26 17:40:00,671.5
low,2021-02-26 17:40:00,671.1
close,2021-02-26 17:40:00,671.1
open,2021-02-26 17:35:00,672.17
high,2021-02-26 17:35:00,672.2
low,2021-02-26 17:35:00,671.55
close,2021-02-26 17:35:00,671.9899
open,2021-02-26 17:30:00,670.19
high,2021-02-26 17:30:00,672.17
low,2021-02-26 17:30:00,670.19
close,2021-02-26 17:30:00,672.17
open,2021-02-26 17:25:00,670.05
high,2021-02-26 17:25:00,670.16
low,2021-02-26 17:25:00,670.05
close,2021-02-26 17:25:00,670.16
open,2021-02-26 17:20:00,670.1
high,2021-02-26 17:20:00,671.5
low,2021-02-26 17:20:00,670.0
close,2021-02-26 17:20:00,670.07
open,2021-02-26 17:15:00,669.85
high,2021-02-26 17:15:00,670.3
low,2021-02-26 17:15:00,669.69
close,2021-02-26 17:15:00,670.05
open,2021-02-26 17:10:00,668.95
high,2021-02-26 17:10:00,669.5
low,2021-02-26 17:10:00,668.23
close,2021-02-26 17:10:00,669.5
open,2021-02-26 17:05:00,669.06
high,2021-02-26 17:05:00,670.0
low,2021-02-26 17:05:00,668.95
close,2021-02-26 17:05:00,668.95
open,2021-02-26 17:00:00,669.0
high,2021-02-26 17:00:00,670.0
low,2021-02-26 17:00:00,668.31
close,2021-02-26 17:00:00,669.0
open,2021-02-26 16:55:00,669.64
high,2021-02-26 16:55:00,675.5
low,2021-02-26 16:55:00,668.77
close,2021-02-26 16:55:00,669.0
open,2021-02-26 16:50:00,667.7999
high,2021-02-26 16:50:00,670.62
low,2021-02-26 16:50:00,667.79
close,2021-02-26 16:50:00,669.67
open,2021-02-26 16:45:00,668.8
high,2021-02-26 16:45:00,669.8
low,2021-02-26 16:45:00,667.12
close,2021-02-26 16:45:00,667.86
open,2021-02-26 16:40:00,672.5
high,2021-02-26 16:40:00,675.5
low,2021-02-26 16:40:00,668.59
close,2021-02-26 16:40:00,668.59
open,2021-02-26 16:35:00,672.5
high,2021-02-26 16:35:00,673.0
low,2021-02-26 16:35:00,671.51
close,2021-02-26 16:35:00,672.5
open,2021-02-26 16:30:00,672.99
high,2021-02-26 16:30:00,675.5
low,2021-02-26 16:30:00,671.98
close,2021-02-26 16:30:00,672.5
open,2021-02-26 16:25:00,672.53
high,2021-02-26 16:25:00,675.5
low,2021-02-26 16:25:00,672.53
close,2021-02-26 16:25:00,672.97
open,2021-02-26 16:20:00,672.81
high,2021-02-26 16:20:00,675.5
low,2021-02-26 16:20:00,672.0
close,2021-02-26 16:20:00,672.53
open,2021-02-26 16:15:00,673.59
high,2021-02-26 16:15:00,676.47
low,2021-02-26 16:15:00,669.76
close,2021-02-26 16:15:00,673.0
open,2021-02-26 16:10:00,675.5
high,2021-02-26 16:10:00,676.1501
low,2021-02-26 16:10:00,672.98
close,2021-02-26 16:10:00,673.26
open,2021-02-26 16:05:00,675.5
